,Participant,Block,Condition,Trial,RT,Correct,Orientation,Agegr,Sacstart,Sacend,Sacduration,Xstart,Ystart,Xend,Yend,Amplitude,Velocity
233,1,11,AV,25,4.605,0,0,Young,818,869,52,883.1,543.7,911.1,314.9,5.77,434
234,1,11,AV,26,1.093,1,0,Young,178,231,54,794.6,265.6,897,371.6,3.31,285
235,1,11,AV,27,1.081,1,0,Young,435,483,49,906.7,401.5,869.7,283.8,3.07,358
236,1,11,AV,28,0.653,1,0,Young,573,690,118,869.8,268.7,913.6,754.4,11.96,281
237,1,11,AV,29,0.778,0,0,Young,850,922,73,920.9,763.9,877.8,338.1,10.44,634
238,1,11,AV,30,1.655,1,0,Young,192,242,51,837,266,942.4,343.8,2.79,319
239,1,11,AV,31,3.714,1,0,Young,401,466,66,952.1,358.5,926.8,194.6,4.22,371
240,1,11,AV,32,1.986,0,0,Young,670,764,95,929,224.6,961.7,770,13.41,364
241,1,12,AdV,17,0.663,1,1,Young,928,1009,82,974.7,766.7,944,257,12.52,589
242,1,12,AdV,18,1.142,1,2,Young,18,39,22,823.3,259,771.4,232.5,1.18,96
243,1,12,AdV,19,2.572,1,2,Young,205,254,50,784,232.6,915.4,251,2.49,229
244,1,12,AdV,20,3.037,1,3,Young,514,595,82,933.2,262.1,958.6,650.6,9.68,264
245,1,12,AdV,21,0.934,1,3,Young,714,790,77,968.5,652.3,949.7,243.7,10.18,497
246,1,12,AdV,22,4.476,1,2,Young,-88,110,199,806.6,391.8,834.7,335.9,1.51,403
247,1,12,AdV,23,0.804,1,4,Young,255,302,48,855.3,350.2,1000.5,315.1,2.84,309
248,1,12,AdV,24,0.998,1,4,Young,750,765,16,1007.7,330.7,964.1,336.8,0.83,80
249,1,12,AdV,25,7.545,0,3,Young,141,157,17,281.2,1344.7,239.4,1319.6,0.81,74
250,1,12,AdV,26,1.482,0,1,Young,510,606,97,233,1335.8,958.4,342.2,24.96,664
251,1,12,AdV,27,1.162,1,4,Young,701,743,43,952.1,348.9,903,271.5,2.18,295
252,1,12,AdV,28,0.962,1,4,Young,23,219,197,988.4,403.1,972.2,425.6,0.64,276
253,1,12,AdV,29,1.656,1,2,Young,403,467,65,980,424.4,760.1,201,7,450
254,1,12,AdV,30,0.853,1,3,Young,708,800,93,753.9,214.3,818.7,807.1,14.51,413
255,1,12,AdV,31,0.66,1,1,Young,933,1012,80,823.9,812.4,753.8,248.6,13.79,584
256,1,12,AdV,32,0.869,0,4,Young,438,470,33,795.8,245.4,849.9,279.1,1.33,91
257,1,13,dAdV,17,1.068,1,3,Young,599,791,193,853.1,271.6,829.5,205.1,1.77,371
258,1,13,dAdV,18,2.28,0,3,Young,72,83,12,813.9,237.6,850.9,247.9,0.74,77
259,1,13,dAdV,19,0.894,1,4,Young,387,431,45,860.8,281.5,905.4,492.4,5.4,254
260,1,13,dAdV,20,3.375,1,4,Young,586,654,69,911.2,504,871.4,242.5,6.65,370
261,1,13,dAdV,21,2.258,1,4,Young,94,225,132,1038.8,401.2,821.7,257.2,5.45,498
262,1,13,dAdV,22,1.825,1,4,Young,610,656,47,832.1,271.3,837.8,366.8,2.44,229
263,1,13,dAdV,23,0.943,1,1,Young,749,797,49,840.6,384.9,827.3,264.1,3.09,262
264,1,13,dAdV,24,0.606,1,1,Young,177,227,51,799.2,379.1,957.1,308.6,3.44,239
265,1,13,dAdV,25,1.217,1,3,Young,481,560,80,967.5,291.3,941,669.8,9.39,373
266,1,13,dAdV,26,0.753,1,1,Young,661,731,71,942.6,659.3,958.9,328,8.22,519
267,1,13,dAdV,27,4.041,0,3,Young,380,448,69,817.5,253.5,743.4,557.2,7.74,393
268,1,13,dAdV,28,0.729,1,1,Young,593,653,61,759.8,559.2,802.5,308.3,6.33,412
269,1,13,dAdV,29,0.662,1,4,Young,958,1097,140,817.5,311.1,793.2,350.7,1.1,288
270,1,13,dAdV,30,0.89,1,4,Young,204,225,22,804.7,321.6,885.1,307.6,1.54,134
271,1,13,dAdV,31,4.219,0,4,Young,431,545,115,869,292.5,875,734.2,10.87,240
272,1,13,dAdV,32,0.976,1,3,Young,554,564,11,861.8,709.5,866.9,677.5,0.77,96
273,1,14,dAV,17,2.36,1,0,Young,600,663,64,874.9,634.7,856.5,366.7,6.66,409
274,1,14,dAV,18,0.769,1,0,Young,769,813,45,870.2,346.1,857.6,264,2.11,314
275,1,14,dAV,19,0.635,1,0,Young,376,457,82,865.4,296,856.4,680.7,9.52,277
276,1,14,dAV,20,1.425,1,0,Young,580,648,69,855.3,635.5,837.1,279.9,8.86,499
277,1,14,dAV,21,0.885,1,0,Young,216,267,52,947.2,362.7,915,256.8,2.77,224
278,1,14,dAV,22,4.199,1,0,Young,390,626,237,914.3,249.5,980,671.3,10.55,275
279,1,14,dAV,23,1.027,1,0,Young,671,761,91,952.8,612.4,955.9,311.4,7.52,261
280,1,14,dAV,24,1.305,1,0,Young,461,511,51,813.2,280.5,893.6,375.6,2.85,182
281,1,14,dAV,25,4.094,0,0,Young,590,614,25,899.8,387.4,873.3,293.2,2.45,222
282,1,14,dAV,26,2.695,1,0,Young,712,737,26,874.6,309.8,845.9,242.4,1.81,200
283,1,14,dAV,27,0.969,1,0,Young,952,1133,182,846.5,259.7,942,823.1,13.82,342
284,1,14,dAV,28,1.918,1,0,Young,331,378,48,823.2,235.8,876.6,310.3,2.15,218
285,1,14,dAV,29,0.634,1,0,Young,449,544,96,884.9,343.6,882.6,345,0.06,210
286,1,14,dAV,30,2.008,1,0,Young,175,228,54,856.1,258.9,1069.9,321.6,4.29,375
287,1,14,dAV,31,7.222,0,0,Young,347,392,46,1080.9,338.3,906.6,272.9,3.65,241
288,1,14,dAV,32,0.881,1,0,Young,595,627,33,894.9,297.6,875.4,459.3,4.11,214
289,1,15,dA,17,3.127,0,0,Young,743,765,23,882.6,479.2,862,414,1.68,159
290,1,15,dA,18,1.664,1,0,Young,915,969,55,873.5,424.1,842.2,303,3.13,219
291,1,15,dA,19,9.676,0,0,Young,331,354,24,806.9,219.3,878.4,292.8,2.31,178
292,1,15,dA,20,0.813,1,0,Young,597,673,77,869.3,323,871.2,688,9.02,222
293,1,15,dA,21,0.784,1,0,Young,700,802,103,872.8,690.7,839.1,349,8.45,277
